phase_data,a_data1,a_data2,a_data3,a_data4,a_data5,a_data6,a_data7,a_data8,a_data9,a_data10,a_data11,a_data12,a_data13,a_data14,a_data15
0.008394264426,0.010196,0.0010077,0.00066089,0.00043669,0.00026557,0.00019989,5.4813e-05,5.123e-05,-5.6026e-05,-5.0692e-05,-2.0703e-05,8.9245e-06,-1.5555e-05,-2.2941e-05,1.3976e-06
0.008592904898,0.010334,0.0011636,0.00093464,0.0005004,0.00038249,0.00024708,7.0543e-05,6.7149e-05,-2.3034e-05,-1.5222e-05,-1.2229e-05,-3.4641e-05,1.6135e-07,-6.0199e-07,-1.1464e-05
0.008791545371,0.01047,0.0014318,0.0010753,0.00054416,0.00049295,0.00031185,9.9975e-05,4.4937e-05,-5.4411e-06,3.3093e-06,-3.487e-05,-4.9176e-06,-2.9038e-05,1.0911e-05,-1.5368e-05
0.008993384595,0.010716,0.0016573,0.0012421,0.00065232,0.00050387,0.00038454,0.00017165,9.9465e-05,-1.0294e-05,2.7816e-05,-3.1878e-05,5.0939e-05,-7.1951e-06,-1.3193e-05,-2.4873e-05
0.00919522382,0.010805,0.0019157,0.0014846,0.00084122,0.00061927,0.00039149,0.00025819,0.00014179,8.5803e-06,6.5184e-05,2.7923e-05,1.937e-05,-4.2893e-06,-4.9959e-06,-2.4879e-05
0.009397073298,0.010985,0.0022443,0.0017259,0.0010134,0.00077424,0.00039972,0.00034719,0.00011132,-1.1362e-05,9.9963e-05,6.2566e-05,6.7806e-06,-1.9442e-05,7.4475e-06,-1.6089e-05
0.009598922775,0.011171,0.0024585,0.0019934,0.0012309,0.00095695,0.00049766,0.00043165,0.00018588,3.5985e-05,7.8905e-05,8.5919e-05,1.6909e-05,-2.3496e-05,-4.8864e-05,1.0303e-06
0.009807169757,0.011366,0.0028317,0.0023016,0.0014594,0.0011453,0.00066155,0.00056242,0.00031143,0.0001236,5.5718e-05,8.7052e-05,4.9378e-05,-1.6334e-05,-1.0318e-05,8.4155e-06
0.01001541674,0.011515,0.0031661,0.0026227,0.0017955,0.0013684,0.0008681,0.00070799,0.00036519,0.00013386,6.1013e-05,0.00010191,0.00011478,1.6049e-05,1.7648e-05,5.9852e-06
0.01021886559,0.01159,0.0034452,0.0030353,0.0020525,0.0016023,0.0010639,0.00086707,0.00043876,0.00016721,9.9253e-05,0.00011015,0.00011563,2.0586e-05,-8.1814e-06,-5.7582e-06
0.01042231445,0.011769,0.0038153,0.0034246,0.0024019,0.0019062,0.001236,0.0010157,0.00050888,0.0002258,0.00017437,0.00012958,5.2296e-05,4.64e-05,-3.0836e-05,-1.4537e-06
0.01063057168,0.011898,0.0040794,0.0037643,0.0028182,0.0022682,0.0014647,0.0011992,0.00053503,0.00023553,0.00021216,0.0001277,3.0735e-05,5.8953e-05,3.1315e-05,-2.8016e-05
0.01083882891,0.012001,0.0043787,0.0042096,0.0031354,0.0025944,0.0017251,0.001406,0.0006051,0.00027277,0.00018668,0.0001448,6.6169e-05,5.0456e-05,4.8238e-05,-3.5705e-05
0.01104547652,0.012191,0.0047226,0.004593,0.0035391,0.0029272,0.0020121,0.0016927,0.00074969,0.00033587,0.00021081,0.00018678,7.0682e-05,3.6698e-05,8.1879e-06,1.7429e-05
0.01125212413,0.012313,0.0050261,0.0048984,0.0039001,0.0032972,0.0022832,0.0020132,0.00090021,0.00034842,0.0002775,0.00021667,8.9029e-05,4.7149e-05,3.5351e-05,1.9211e-05
0.01144916522,0.012467,0.0053747,0.0052352,0.0041689,0.0036188,0.0025899,0.0023239,0.0011078,0.0003852,0.00030173,0.000192,0.0001096,4.5028e-05,5.5243e-05,1.0435e-05
0.01164620632,0.012601,0.0056457,0.0054782,0.0045739,0.0040103,0.002947,0.0026571,0.0013091,0.00043079,0.00029257,0.00019755,9.781e-05,7.4688e-05,4.2914e-05,3.3582e-05
