case,method,order,variant,n_steps,runtime_s,abs_err_x,abs_err_px,rel_err_x,rel_err_px
0,2,4,2,150,4.377518780529499e-05,1.8577353961279373e-10,2.4051932281811978e-05,1.9261502272986013,2.1317478236651124
0,2,4,2,160,4.687882028520107e-05,1.3906621020488634e-10,3.1543946797603364e-05,1.4418760225702776,2.7957728779424778
0,2,4,2,170,4.704901948571205e-05,9.838783248493466e-11,3.280654089318613e-05,1.0201116170756461,2.9076779084362774
0,2,4,2,180,4.897499457001686e-05,6.513546338750045e-11,3.248337037616813e-05,0.6753420743908439,2.879034968723413
0,2,4,2,190,5.037500523030758e-05,4.049451855316717e-11,3.119854392663907e-05,0.4198581040017974,2.7651594615300836
0,2,4,2,200,5.332101136445999e-05,2.2488700662163344e-11,2.9087460434380145e-05,0.2331689215932506,2.5780519315624635
0,2,4,2,210,5.400390364229679e-05,9.912643596331256e-12,2.636212968215571e-05,0.10277696574011218,2.3365030268112497
0,2,4,2,220,5.546794272959232e-05,1.6726036235448266e-12,2.3386677072457636e-05,0.017342006059561904,2.072785561169662
0,2,4,2,230,5.8063073083758354e-05,3.595228905051128e-12,2.038487955834245e-05,0.0372763041878211,1.8067331191944547
0,2,4,2,240,5.860091187059879e-05,6.7364068926375604e-12,1.757834823470404e-05,0.0698448858458211,1.5579873231762968
0,2,4,2,250,6.139208562672138e-05,8.430588895617627e-12,1.5091218996040728e-05,0.08741062237066106,1.3375504668118006
0,2,4,2,260,6.15590251982212e-05,9.1945926076012e-12,1.2935129191779972e-05,0.09533201917755481,1.1464539805084912
0,2,4,2,270,6.455089896917343e-05,9.365904546133569e-12,1.1102417552593875e-05,0.09710822761946127,0.9840188379817073
0,2,4,2,280,6.564310751855373e-05,9.175684682861898e-12,9.558991132367189e-06,0.09513597670772699,0.8472233458875643
0,2,4,2,290,6.719795055687428e-05,8.775676173141716e-12,8.262246842568433e-06,0.09098858045568377,0.7322915480910503
0,2,4,2,300,6.973603740334511e-05,8.264061516341264e-12,7.172822120719707e-06,0.08568402153120268,0.6357346996583708
0,2,4,2,310,7.056817412376404e-05,7.703077788673037e-12,6.255262680515141e-06,0.07986759074772763,0.5544104502458366
0,2,4,2,320,7.249112240970135e-05,7.131570817589137e-12,5.4797655161960545e-06,0.0739420521346916,0.4856773283940925
0,2,4,2,330,7.305899634957314e-05,6.5729224675703324e-12,4.821503972058097e-06,0.06814983517736015,0.4273349217351622
0,2,4,2,340,7.701897993683815e-05,6.040535535584368e-12,4.260123086277667e-06,0.06262990369415257,0.3775791487898599
0,2,4,2,350,7.764785550534725e-05,5.5415479326394415e-12,3.7791604453804022e-06,0.05745626547401197,0.3349509286957807
0,2,4,2,360,7.80811533331871e-05,5.078993256681192e-12,3.365159374230336e-06,0.05266037367966917,0.298257582311858
0,2,4,2,370,7.991096936166286e-05,4.6534125998282085e-12,3.00717511607036e-06,0.04824783850033296,0.2665290644407189
0,2,4,2,380,8.381903171539307e-05,4.263848473632069e-12,2.696281185239771e-06,0.044208732437198014,0.2389742113555899
0,2,4,2,390,8.33580270409584e-05,3.908470437168054e-12,2.4251556409703145e-06,0.040524076984441854,0.21494407181567887
0,2,4,2,400,8.70011281222105e-05,3.584999673312145e-12,2.187773911260722e-06,0.03717024475072258,0.193904681726054
0,2,4,2,410,8.813291788101196e-05,3.2909695838103304e-12,1.979154617336171e-06,0.034121661379231796,0.17541453629459883
0,2,4,2,420,8.787307888269424e-05,3.0238899761831594e-12,1.7951597540697367e-06,0.031352507881860045,0.1591068798145253
0,2,4,2,430,9.457999840378761e-05,2.7813457830320413e-12,1.6323357523355484e-06,0.028837744187623963,0.14467561885509808
0,2,4,2,440,9.201583452522755e-05,2.5610532646658033e-12,1.4877868065126203e-06,0.02655369186667605,0.13186409514628863
0,2,4,2,450,9.513995610177517e-05,2.360889226275717e-12,1.3590739666784345e-06,0.024478337061865522,0.12045614201473215
0,2,4,2,460,9.524100460112095e-05,2.178902449584772e-12,1.2441340421177614e-06,0.022591449015165122,0.11026889671720015
0,2,4,2,470,9.77739691734314e-05,2.0133143414547946e-12,1.1412143805733806e-06,0.020874586792604895,0.10114701985762273
0,2,4,2,480,9.922194294631481e-05,1.862513014547293e-12,1.0488201319925874e-06,0.01931103791096529,0.0929580213179827
0,2,4,2,490,0.00010031997226178646,1.7250436170776334e-12,9.656714019158432e-07,0.01788571807405698,0.0855884627184994
0,2,4,2,500,0.00010140892118215561,1.599596781689943e-12,8.906682965391e-07,0.01658505140753646,0.07894085932507458
0,2,4,2,510,0.00010287691839039326,1.484996365153123e-12,8.228622748816422e-07,0.015396843340763378,0.07293114096207304
0,2,4,2,520,0.00010497821494936943,1.3801872135907495e-12,7.614325654653213e-07,0.014310153753400117,0.06748656179802605
0,2,4,2,530,0.00010738195851445198,1.2842234013383228e-12,7.056666713392077e-07,0.013315175032707632,0.06254397248564977
0,2,4,2,540,0.00010752608068287373,1.1962571898090613e-12,6.549441855380353e-07,0.01240311759608432,0.05804838570906054
0,2,4,2,550,0.00010983087122440338,1.1155288328630415e-12,6.087233017996833e-07,0.011566104190380174,0.053951780614607515
0,2,4,2,560,0.00011245207861065865,1.0413572719607829e-12,5.665295279536351e-07,0.010797073416736355,0.05021210246672962
0,2,4,2,570,0.00011382391676306725,9.73131711375665e-13,5.279462054169853e-07,0.0100896923801124,0.046792422381006546
0,2,4,2,580,0.00011593499220907688,9.103040402573627e-13,4.926065192840065e-07,0.009438278119193481,0.04366022917007048
0,2,4,2,590,0.00011847796849906445,8.523820427496577e-13,4.6018673903153474e-07,0.008837727207058244,0.04078683026028021
0,2,4,2,600,0.00011918903328478336,7.989233362969392e-13,4.3040048260769107e-07,0.008283452901903637,0.03814684331192696
0,2,6,1,10,2.2702151909470558e-05,,,,
0,2,6,1,20,2.390914596617222e-05,,,,
0,2,6,1,30,2.7619069442152977e-05,,,,
0,2,6,1,40,3.0594877898693085e-05,,,,
0,2,6,1,50,3.39350663125515e-05,,,,
0,2,6,1,60,3.4016091376543045e-05,,,,
0,2,6,1,70,3.587384708225727e-05,,,,
0,2,6,1,80,4.212092608213425e-05,,,,
0,2,6,1,90,4.264409653842449e-05,,,,
0,2,6,1,100,4.6689994633197784e-05,,,,
0,2,6,1,110,4.703993909060955e-05,,,,
0,2,6,1,120,5.069817416369915e-05,,,,
0,2,6,1,130,5.4780859500169754e-05,,,,
0,2,6,1,140,5.98379410803318e-05,,,,
0,2,6,1,150,5.9786951169371605e-05,,,,
0,2,6,1,160,9.284284897148609e-05,1.67420928316928e-10,2.9518396898160223e-05,1.7358653972160496,2.6162462794442676
0,2,6,1,170,9.64959617704153e-05,6.065556007320265e-11,1.032958964071706e-05,0.6288932270194919,0.9155222947556617
0,2,6,1,180,0.0001020489726215601,1.146223479332176e-10,1.0286548823403769e-05,1.1884354574135592,0.9117075422625426
